codigo,descripcion,categoria
F98.8,Otros trastornos de las emociones y del comportamiento en la infancia,Otros trastornos del comportamiento
F98.9,Trastorno de las emociones y del comportamiento de comienzo en la infancia no especificado,Otros trastornos del comportamiento
G80.0,Parálisis cerebral espástica,Parálisis cerebral
G80.1,Parálisis cerebral espástica dipléjica,Parálisis cerebral
G80.2,Parálisis cerebral espástica hemipléjica,Parálisis cerebral
G80.3,Parálisis cerebral discinética,Parálisis cerebral
G80.4,Parálisis cerebral atáxica,Parálisis cerebral
G80.8,Otros tipos de parálisis cerebral,Parálisis cerebral
G80.9,Parálisis cerebral no especificada,Parálisis cerebral
Q90.0,Síndrome de Down trisomía 21 por falta de disyunción meiótica,Síndrome de Down
Q90.1,Síndrome de Down trisomía 21 por mosaicismo,Síndrome de Down
Q90.2,Síndrome de Down trisomía 21 por translocación,Síndrome de Down
Q90.9,Síndrome de Down no especificado,Síndrome de Down
R62.0,Falta del desarrollo fisiológico normal esperado,Retraso del desarrollo
R62.8,Otra falta del crecimiento o desarrollo fisiológico normal esperado,Retraso del desarrollo
R62.9,Falta del crecimiento o desarrollo fisiológico normal esperado no especificado,Retraso del desarrollo
R48.0,Dislexia y alexia,Trastornos del aprendizaje
R48.1,Agnosia,Trastornos cognitivos
R48.2,Apraxia,Trastornos cognitivos
R48.8,Otras alteraciones simbólicas específicas y las no especificadas,Trastornos cognitivos
H93.2,Otras percepciones auditivas anormales,Trastornos auditivos
R47.0,Disfasia y afasia,Trastornos del habla
R47.1,Disartria y anartria,Trastornos del habla
R47.8,Otros trastornos del habla y los no especificados,Trastornos del habla
F70,Retraso mental leve,Discapacidad intelectual
F71,Retraso mental moderado,Discapacidad intelectual
F72,Retraso mental grave,Discapacidad intelectual
F73,Retraso mental profundo,Discapacidad intelectual
F78,Otro retraso mental,Discapacidad intelectual
F79,Retraso mental no especificado,Discapacidad intelectual
